Project Reference,Project ID,Project ID Id,Id Project ID,HE/MEAS Delay Status,Firm Order Placed,Ran Priority,NIA Order Delivery (A),Transmission Delivered (A),Transmission Delivered (F),COC Uploaded,PRTC (A),PRTC (F),HE/MEAS Status,WES PSID
PX71-SG-CKIJLLK,P-193304,a1e4J000000CKL0QAO,a0i4J0000023ShRQAU,NONE,11/20/2018,Huawei,,4/6/2019,,8/13/2022,2/1/2019,,7.0 COMPLETED (10GB),BTWD205867
,P-193235,a1e4J000000CKL1QAO,a0i4J0000023SgAQAU,,,,,,,,,,PENDING CANCELLATION,
,P-193236,a1e4J000000CKL2QAO,a0i4J0000023SgBQAU,,,,,,,,,,1.3 CRF TO BE SUBMITTED (Fluid) (10GB),
PX71-SG-CKIHJMN,P-193237,a1e4J000000CKL3QAO,a0i4J0000023SgCQAU,NONE,3/31/2020,Huawei,,9/11/2020,,9/11/2020,9/13/2019,,7.0 COMPLETED (10GB),BTWD209174
,P-193238,a1e4J000000CKL4QAO,a0i4J0000023SgDQAU,,,,,,,,,,1.3 CRF TO BE SUBMITTED (Fluid) (10GB),
PX71-SG-CKJJJMM,P-193239,a1e4J000000CKL5QAO,a0i4J0000023SgEQAU,,7/16/2020,Nokia Compact,,2/26/2024,,,6/3/2020,,7.0 COMPLETED (10GB),BTWD216301
PX71-SG-CKJEOOL,P-193240,a1e4J000000CKL6QAO,a0i4J0000023SgFQAU,NONE,,Huawei,,4/25/2018,,3/29/2019,,,13.7 DECOM COMPLETED,ONEA43597918
PX71-SG-CKIJOJJ,P-193241,a1e4J000000CKL7QAO,a0i4J0000023SgGQAU,NONE,9/14/2018,Huawei,,10/3/2019,,10/3/2019,3/29/2019,,7.0 COMPLETED (10GB),BTWD205592
PX71-SG-CKJEOPP,P-193242,a1e4J000000CKL8QAO,a0i4J0000023SgHQAU,NONE,,Huawei,,7/2/2018,,3/30/2019,,3/31/2026,7.0 COMPLETED SMEAS 10GB,ONEA44903538
PX71-SG-CKIIFKO,P-193243,a1e4J000000CKL9QAO,a0i4J0000023SgIQAU,NONE,10/14/2019,Huawei,,4/3/2020,,4/3/2020,11/28/2019,,7.0 COMPLETED (10GB),BTWD208376
